Crop	Scientific name 	Dependence on pollinators	Dependence rate	Pollinator group	Order	Family	Species	reference	doi/link	Obs
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Gn.4 sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Gn.4 sp.2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Gn.5 sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Gn.6 sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Phyllotropx sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Phyllotropx sp. 2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Phytotribus sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Phytotribus sp. 2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Bondariella sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Centrinae Gen 4	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Tonesia sp. 1 	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Parisoschoenus expositus 	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Parisoschoenus maritimus	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Parisoschoenus sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Terires sp. 1 	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Terires sp. 2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Cryptorhynchus sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Cryptorhynchus sp.2 	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Eubulus sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Metamasius sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Curculionidae	Metamasius sp. 2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Chrysomelidae	Sphaeropis sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Chrysomelidae	Gen 2, sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Chrysomelidae	Monolepta sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Chrysomelidae	Monolepta sp. 2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Chrysomelidae	Gen 2, sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Nitidulidae	Mystrops dalmasi	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Nitidulidae	Mystrops sp. 2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Nitidulidae	Gen 2 sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Nitidulidae	Gen 2 sp.2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Nitidulidae	Gen3 sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Nitidulidae	Gen4 sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Staphylinidae	Erchomus sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Staphylinidae	Xanthopygus sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Staphylinidae	Xanthopygus sp.2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Staphylinidae	Aleochara sp. 1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Staphylinidae	Philonthus sp. 2	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Staphylinidae	Gen 3 sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Staphylinidae	Gen 4 sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Scarabaeidae	Cyclocephala amazona	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Scarabaeidae	Cyclocephala sp.1	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
Buriti palm (straw)	Mauritia flexuosa	No increase	0	Beetles, bees, wasps,  ants, flies, bugs and other insects	Coleoptera	Scarabaeidae	Aspidolea ferruginea	Nuñez & Carreno 2016 em Lasso et al.2016	https://www.researchgate.net/profile/Andrea-Galeano-Gonzalez/publication/311743563_APROXIMACION_DEMOGRAFICA_DE_UNA_POBLACION_DE_LA_PALMA_Mauritia_flexuosa_EN_LA_AMAZONIA_COLOMBIANA/links/5859315908ae64cb3d493492/APROXIMACION-DEMOGRAFICA-DE-UNA-POBLACION-DE-LA-PALMA-Mauritia-flexuosa-EN-LA-AMAZONIA-COLOMBIANA.pdf#page=68	
